Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
ITI 2-1  SIN INGLES,,,,,,,ITI 2-2,,,,,,,ITI 5-1,,,,,,,ITI 5-2,,,,,,,ITI 8-1,,,,,,,,,,,,
,L,M,M,J,V,,,L,M,M,J,V,,,L,M,M,J,V,,,L,M,M,J,V,,,L,M,M,J,V,,,,,,,
7:00-7:55,"Fundamentos de Redes
M.T.I. Israel Pulido Picazo","Fundamentos de Redes
M.T.I. Israel Pulido Picazo","Fundamentos de Redes
M.T.I. Israel Pulido Picazo","Fundamentos de Redes
M.T.I. Israel Pulido Picazo","Fundamentos de Redes
M.T.I. Israel Pulido Picazo",,7:00-7:55,"Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño",,7:00-7:55,"Estructura de datos
Dr. Said Polanco Martagón","Estructura de datos
Dr. Said Polanco Martagón","Estructura de datos
Dr. Said Polanco Martagón","Estructura de datos
Dr. Said Polanco Martagón","Estructura de datos
Dr. Said Polanco Martagón",,7:00-7:55,"Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna",,7:00-7:55,"Programación WEB
M.I. Arturo G. Mascorro Cienfuegos","Programación WEB
M.I. Arturo G. Mascorro Cienfuegos","Programación WEB
M.I. Arturo G. Mascorro Cienfuegos","Programación WEB
M.I. Arturo G. Mascorro Cienfuegos","Programación WEB
M.I. Arturo G. Mascorro Cienfuegos",,,,,,,
7:55- 8:50,INGLES I,INGLES I,INGLES I,INGLES I,INGLES I,,7:55- 8:50,"INGLÉS  II
Lic. Rodrigo Caballero Quevedo","INGLÉS  II
Lic. Rodrigo Caballero Quevedo","INGLÉS  II
Lic. Rodrigo Caballero Quevedo","INGLÉS  II
Lic. Rodrigo Caballero Quevedo","INGLÉS  II
Lic. Rodrigo Caballero Quevedo",,7:55- 8:50,"Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Estructura de datos
Dr. Said Polanco Martagón",,7:55- 8:50,"Estructura de datos
Dra. Karla E. Vázquez Ortiz","Estructura de datos
Dra. Karla E. Vázquez Ortiz","Estructura de datos
Dra. Karla E. Vázquez Ortiz","Estructura de datos
Dra. Karla E. Vázquez Ortiz","Ingeniería de Requerimientos
Alma D. Amaya Vazquez",,7:55- 8:50,"Minería de datos Aplicada
Dr. Jean-Michael Recher","Minería de datos Aplicada
Dr. Jean-Michael Recher","Minería de datos Aplicada
Dr. Jean-Michael Recher","Minería de datos Aplicada
Dr. Jean-Michael Recher","Graficación Por Computadora Avanzada
Dr. Marco A. Nuño Maganda",,,,,,,
8:50 A 9 45,"Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño","Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez",,8:50 A 9 45,"Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Inteligencia Emocional
Myriam Ornela Llerena","Inteligencia Emocional
Myriam Ornela Llerena","Inteligencia Emocional
Myriam Ornela Llerena","Fudamentos de Física
Eduardo Patricio González Nuño",,8:50 A 9 45,INGLÉS V,INGLÉS V,INGLÉS V,INGLÉS V,INGLÉS V,,8:50 A 9 45,INGLÉS V,INGLÉS V,INGLÉS V,INGLÉS V,INGLÉS V,,8:50 A 9 45,"Graficación Por Computadora Avanzada
Dr. Marco A. Nuño Maganda","Negocios Electrónicos
M.S.I. Mario H. Rodriguez Chávez","Graficación Por Computadora Avanzada
Dr. Marco A. Nuño Maganda","Negocios Electrónicos
M.S.I. Mario H. Rodriguez Chávez","Graficación Por Computadora Avanzada
Dr. Marco A. Nuño Maganda",,,,,,,
9:45-10:40,"Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño",,9:45-10:40,"Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan",,9:45-10:40,"Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna",,9:45-10:40,"Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Tecnologías WAN
M.A.T. Hiram Herrera Rivas",CAI,,9:45-10:40,"Graficación Por Computadora Avanzada
Dr. Marco A. Nuño Maganda","Administración de Sistemas Integrales
M.S.I. José Fidencio López Luna","Graficación Por Computadora Avanzada
Dr. Marco A. Nuño Maganda","Negocios Electrónicos
M.S.I. Mario H. Rodriguez Chávez","Administración de Sistemas Integrales
M.S.I. José Fidencio López Luna",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:10-12:05,"Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan",,11:10-12:05,"Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Fundamentos de Redes
M.A.T. Hiram Herrera Rivas",,11:10-12:05,"Probabilidad y Estadística
M.C. Maribel A. Marin C.","Habilidades Organizacionales
Myriam Ornela Llerena","Habilidades Organizacionales
Myriam Ornela Llerena","Habilidades Organizacionales
Myriam Ornela Llerena","Probabilidad y Estadística
M.C. Maribel A. Marin C.",,11:10-12:05,"Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Probabilidad y Estadística
Dr. Héctor Hugo Avilés",,11:10-12:05,,,,,,,,,,,,
12:05-13:00,"Inteligencia Emocional
Luis F. Castillo Cortés","Inteligencia Emocional
Luis F. Castillo Cortés","Inteligencia Emocional
Luis F. Castillo Cortés","Matemáticas Discretas
Erendira Guiterrez Meza","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan",,12:05-13:00,"Fundamentos de Redes
M.A.T. Hiram Herrera Rivas","Fundamentos de Redes
M.A.T. Hiram Herrera Rivas","Fundamentos de Redes
M.A.T. Hiram Herrera Rivas","Matemáticas Discretas
Maribel A. Marin Castro","Fundamentos de Redes
M.A.T. Hiram Herrera Rivas",,12:05-13:00,"Probabilidad y Estadística
M.C. Maribel A. Marin C.","Probabilidad y Estadística
M.C. Maribel A. Marin C.","Probabilidad y Estadística
M.C. Maribel A. Marin C.","Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Probabilidad y Estadística
M.C. Maribel A. Marin C.",,12:05-13:00,"Probabilidad y Estadística
Dr. Héctor Hugo Avilés","Probabilidad y Estadística
Dr. Héctor Hugo Avilés","Probabilidad y Estadística
Dr. Héctor Hugo Avilés","Probabilidad y Estadística
Dr. Héctor Hugo Avilés","Estructura de datos
Dra. Karla E. Vázquez Ortiz",,12:05-13:00,"Proyectos de Tecnologías de la Información
Erendira Guiterrez Meza","Proyectos de Tecnologías de la Información
Erendira Guiterrez Meza","Proyectos de Tecnologías de la Información
Erendira Guiterrez Meza","Administración de Sistemas Integrales
M.S.I. José Fidencio López Luna","Minería de datos Aplicada
Dr. Jean-Michael Recher",,,,,,,
13:00-13:55,"Matemáticas Discretas
Erendira Guiterrez Meza","Matemáticas Discretas
Erendira Guiterrez Meza","Matemáticas Discretas
Erendira Guiterrez Meza","Matemáticas Discretas
Erendira Guiterrez Meza","Matemáticas Discretas
Erendira Guiterrez Meza",,13:00-13:55,"Matemáticas Discretas
Maribel A. Marin Castro","Matemáticas Discretas
Maribel A. Marin Castro","Matemáticas Discretas
Maribel A. Marin Castro","Matemáticas Discretas
Maribel A. Marin Castro","Matemáticas Discretas
Maribel A. Marin Castro",,13:00-13:55,"Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Tecnologías WAN
M.A.T. Hiram Herrera Rivas",CAI,,13:00-13:55,"Habilidades Organizacionales
Lic. Alma Leticia","Habilidades Organizacionales
Lic. Alma Leticia","Habilidades Organizacionales
Lic. Alma Leticia","Probabilidad y Estadística
Dr. Héctor Hugo Avilés","Estructura de datos
Dra. Karla E. Vázquez Ortiz",,13:00-13:55,"INGLÉS  VIII
Lic. José Alfredo Urbiola García","INGLÉS  VIII
Lic. José Alfredo Urbiola García","INGLÉS  VIII
Lic. José Alfredo Urbiola García","INGLÉS  VIII
Lic. José Alfredo Urbiola García","INGLÉS  VIII
Lic. José Alfredo Urbiola García",,,,,,,
14:00-14:55,,,,,,,14:00-14:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13:00-13:55,"Matemáticas Discretas
Dr. Héctor Hugo Avilés","Matemáticas Discretas
Dr. Héctor Hugo Avilés","Matemáticas Discretas
Dr. Héctor Hugo Avilés",,"Matemáticas Discretas
Dr. Héctor Hugo Avilés",,,,,,,,,,,,,,,,13:00-13:55,"Seminario de Investigación
Dr. Jean-Michael Recher","Seminario de Investigación
Dr. Jean-Michael Recher","Introducción a la graficación por computadora
Marco Aurelio Nuño Maganda","Introducción a la graficación por computadora
Marco Aurelio Nuño Maganda","Seminario de Investigación
Dr. Jean-Michael Recher",,,,,,,
ITI 1-1,,,,,,,ITI 2-3,,,,,,,ITI 4-1,,,,,,,ITI 5-3,,,,,,,ITI 7-1,,,,,,,ITI 8-2,,,,,
,L,M,M,J,V,,,L,M,M,J,V,,,L,M,M,J,V,,,L,M,M,J,V,,,L,M,M,J,V,,,L,M,M,J,V
14:00-14:55,CAI,"Algoritmos
M.S.I. José Fidencio López Luna","Algoritmos
M.S.I. José Fidencio López Luna","Algoritmos
M.S.I. José Fidencio López Luna","Algoritmos
M.S.I. José Fidencio López Luna",,14:00-14:55,"Inteligencia Emocional
Lic. Alma Leticia","Inteligencia Emocional
Lic. Alma Leticia","Inteligencia Emocional
Lic. Alma Leticia","Matemáticas Discretas
Dr. Héctor Hugo Avilés","Matemáticas Discretas
Dr. Héctor Hugo Avilés",,14:00-14:55,"Introducción a las Bases de Datos
M.C. Maribel Marin Castro","Introducción a las Bases de Datos
M.C. Maribel Marin Castro","Introducción a las Bases de Datos
M.C. Maribel Marin Castro","Introducción a las Bases de Datos
M.C. Maribel Marin Castro","Introducción a las Bases de Datos
M.C. Maribel Marin Castro",,14:00-14:55,"Diseño de Bases de Datos
M.C. Jorge O. Jasso Luna","Diseño de Bases de Datos
M.C. Jorge O. Jasso Luna","Diseño de Bases de Datos
M.C. Jorge O. Jasso Luna","Diseño de Bases de Datos
M.C. Jorge O. Jasso Luna","Diseño de Bases de Datos
M.C. Jorge O. Jasso Luna",,14:00-14:55,"Introducción a la graficación por computadora
Marco Aurelio Nuño Maganda","Introducción a la graficación por computadora
Marco Aurelio Nuño Maganda","Introducción a la graficación por computadora
Marco Aurelio Nuño Maganda","Introducción a la graficación por computadora
Marco Aurelio Nuño Maganda","Seminario de Investigación
Dr. Jean-Michael Recher",,14:00-14:55,"INGLÉS  VIII
Lic. José Alfredo Urbiola García","INGLÉS  VIII
Lic. José Alfredo Urbiola García","INGLÉS  VIII
Lic. José Alfredo Urbiola García","INGLÉS  VIII
Lic. José Alfredo Urbiola García","INGLÉS  VIII
Lic. José Alfredo Urbiola García"
14:55 -15:50,"Algoritmos
M.S.I. José Fidencio López Luna","Algoritmos
M.S.I. José Fidencio López Luna",valores del ser,valores del ser,valores del ser,,14:55 -15:50,INGLES II,INGLES II,INGLES II,INGLES II,INGLES II,,14:55 -15:50,"Ing. Juan Manuel Ornelas Llerena
Algebra lineal","Ing. Juan Manuel Ornelas Llerena
Algebra lineal","Habilidades del pensamiento
","Ing. Juan Manuel Ornelas Llerena
Algebra lineal","Ing. Juan Manuel Ornelas Llerena
Algebra lineal",,14:55 -15:50,CAI,"Estructura de Datos
Dr. Alberto García Robledo","Estructura de Datos
Dr. Alberto García Robledo","Habilidades Organizacionales
","Estructura de Datos
Dr. Alberto García Robledo",,14:55 -15:50,"INGLES VII
Lic. Rocío Doení Bolado Ornelas

","INGLES VII
Lic. Rocío Doení Bolado Ornelas

","INGLES VII
Lic. Rocío Doení Bolado Ornelas

","INGLES VII
Lic. Rocío Doení Bolado Ornelas

","INGLES VII
Lic. Rocío Doení Bolado Ornelas

",,14:55 -15:50,CAI,,"Proyectos de Tecnologías de la Información
M.S.I. José Fidencio López Luna","Proyectos de Tecnologías de la Información
M.S.I. José Fidencio López Luna","Proyectos de Tecnologías de la Información
M.S.I. José Fidencio López Luna"
15:50 -16:45,INGLES I,INGLES I,INGLES I,INGLES I,INGLES I,,15:50 -16:45,"Lógica Computacional
M.I. Adriana Lizeth Trujillo","Lógica Computacional
M.I. Adriana Lizeth Trujillo","Lógica Computacional
M.I. Adriana Lizeth Trujillo","Fundamentos de Física
Ing. Juan Manuel Ornelas Llerena","Fundamentos de Física
Ing. Juan Manuel Ornelas Llerena",,15:50 -16:45,"Ing. Juan Manuel Ornelas Llerena
Algebra lineal","Ing. Juan Manuel Ornelas Llerena
Algebra lineal","Habilidades del pensamiento
","Habilidades del pensamiento
","Habilidades del pensamiento
",,15:50 -16:45,"Habilidades Organizacionales
","Habilidades Organizacionales
","Estructura de Datos
Dr. Alberto García Robledo","Estructura de Datos
Dr. Alberto García Robledo","Estructura de Datos
Dr. Alberto García Robledo",,15:50 -16:45,,,,CAI,"INGLES VII
Lic. Rocío Doení Bolado Ornelas

",,15:50 -16:45,"Minería de Datos Aplicada
Dr. Alberto García Robledo","Minería de Datos Aplicada
Dr. Alberto García Robledo",,,
16:45-17:40,"Matemáticas Básicas
M.I. Arturo Guadalupe Mascorro","Matemáticas Básicas
M.I. Arturo Guadalupe Mascorro","Matemáticas Básicas
M.I. Arturo Guadalupe Mascorro","Arquitectura de Computadoras
M.I. Manuel Ruiz Méndez","Introducción a la ITI
M.T.I. Israel Pulido Picazo",,16:45-17:40,"Lógica Computacional
M.I. Adriana Lizeth Trujillo","Lógica Computacional
M.I. Adriana Lizeth Trujillo","Lógica Computacional
M.I. Adriana Lizeth Trujillo","Fundamentos de Física
Ing. Juan Manuel Ornelas Llerena","Fundamentos de Física
Ing. Juan Manuel Ornelas Llerena",,16:45-17:40,"INGLES IV
Lic. Arturo Perales Meléndez y Riestra

","INGLES IV
Lic. Arturo Perales Meléndez y Riestra

","INGLES IV
Lic. Arturo Perales Meléndez y Riestra

","INGLES IV
Lic. Arturo Perales Meléndez y Riestra

","INGLES IV
Lic. Arturo Perales Meléndez y Riestra

",,16:45-17:40,"INGLES V
Mtro. Gerardo Benjamín Céspedes Zúñiga

","INGLES V
Mtro. Gerardo Benjamín Céspedes Zúñiga

","INGLES V
Mtro. Gerardo Benjamín Céspedes Zúñiga

","INGLES V
Mtro. Gerardo Benjamín Céspedes Zúñiga

","INGLES V
Mtro. Gerardo Benjamín Céspedes Zúñiga

",,16:45-17:40,"Seguridad Informática
M.S.I. Marina Cristal Flores Flores","Seguridad Informática
M.S.I. Marina Cristal Flores Flores","Seguridad Informática
M.S.I. Marina Cristal Flores Flores","Diseño de Interfaces
Ing. Hugo Eduardo Treviño","Diseño de Interfaces
Ing. Hugo Eduardo Treviño",,16:45-17:40,"Programación WEB
M.I. Hugo O. Camargo","Programación WEB
M.I. Hugo O. Camargo","Minería de Datos Aplicada
Dr. Alberto García Robledo","Minería de Datos Aplicada
Dr. Alberto García Robledo","Programación WEB
M.I. Hugo O. Camargo"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00-18:55,"Herramientas Ofimaticas
M.I. Hugo O. Camargo","Herramientas Ofimaticas
M.I. Hugo O. Camargo","Matemáticas Básicas
M.I. Arturo Guadalupe Mascorro","Matemáticas Básicas
M.I. Arturo Guadalupe Mascorro","Matemáticas Básicas
M.I. Arturo Guadalupe Mascorro",,18:00-18:55,"Fundamentos de Física
Ing. Juan Manuel Ornelas Llerena","Fundamentos de Física
Ing. Juan Manuel Ornelas Llerena","Fundamentos de Redes
M.S.I. Marina Cristal Flores Flores","Fundamentos de Redes
M.S.I. Marina Cristal Flores Flores","Herramientas Multimedia
Ing. Hugo Eduardo Treviño",,18:00-18:55,"Switcheo y Wireless
M.T.I. Israel Pulido Picazo","Switcheo y Wireless
M.T.I. Israel Pulido Picazo","Switcheo y Wireless
M.T.I. Israel Pulido Picazo","Introducción a la Programación Orientada a Objetos
M.I. Luis Roberto Flores de la Fuente","INGLES IV
Lic. Arturo Perales Meléndez y Riestra

",,18:00-18:55,"Probabilidad y Estadística
M.I. Adriana Lizeth Trujillo","Probabilidad y Estadística
M.I. Adriana Lizeth Trujillo","Probabilidad y Estadística
M.I. Adriana Lizeth Trujillo","Ingeniería de Requerimientos
M.T.I. Israel Pulido Picazo","Ingeniería de Requerimientos
M.T.I. Israel Pulido Picazo",,18:00-18:55,"Seguridad Informática
M.S.I. Marina Cristal Flores Flores","Seguridad Informática
M.S.I. Marina Cristal Flores Flores","Programación Orientada a Objetos
M.I. Luis Roberto Flores de la Fuente","Diseño de Interfaces
Ing. Hugo Eduardo Treviño","Programación Orientada a Objetos
M.I. Luis Roberto Flores de la Fuente",,18:00-18:55,"Negocios Electrónicos
M.I. Arturo Guadalupe Mascorro","Negocios Electrónicos
M.I. Arturo Guadalupe Mascorro","Administración de Sistemas Integrales
Ing. Hugo Eduardo Treviño","Minería de Datos Aplicada
Dr. Alberto García Robledo","Programación WEB
M.I. Hugo O. Camargo"
18:55 -19:50,"Arquitectura de Computadoras
M.I. Manuel Ruiz Méndez","Arquitectura de Computadoras
M.I. Manuel Ruiz Méndez","Arquitectura de Computadoras
M.I. Manuel Ruiz Méndez","Arquitectura de Computadoras
M.I. Manuel Ruiz Méndez","Herramientas Ofimaticas
M.I. Hugo O. Camargo",,18:55 -19:50,"Fundamentos de Redes
M.S.I. Marina Cristal Flores Flores","Fundamentos de Redes
M.S.I. Marina Cristal Flores Flores","Herramientas Multimedia
Ing. Hugo Eduardo Treviño","Fundamentos de Redes
M.S.I. Marina Cristal Flores Flores","Herramientas Multimedia
Ing. Hugo Eduardo Treviño",,18:55 -19:50,"Switcheo y Wireless
M.T.I. Israel Pulido Picazo","Switcheo y Wireless
M.T.I. Israel Pulido Picazo","Switcheo y Wireless
M.T.I. Israel Pulido Picazo","Introducción a la Programación Orientada a Objetos
M.I. Luis Roberto Flores de la Fuente",CAI,,18:55 -19:50,"Probabilidad y Estadística
M.I. Adriana Lizeth Trujillo","Probabilidad y Estadística
M.I. Adriana Lizeth Trujillo","Tecnologíás WAN
M.S.I. Marina Cristal Flores Flores","Ingeniería de Requerimientos
M.T.I. Israel Pulido Picazo","Ingeniería de Requerimientos
M.T.I. Israel Pulido Picazo",,18:55 -19:50,"Programación Orientada a Objetos
M.I. Luis Roberto Flores de la Fuente","Programación Orientada a Objetos
M.I. Luis Roberto Flores de la Fuente","Programación Orientada a Objetos
M.I. Luis Roberto Flores de la Fuente",,"Programación Orientada a Objetos
M.I. Luis Roberto Flores de la Fuente",,18:55 -19:50,"Administración de Sistemas Integrales
Ing. Hugo Eduardo Treviño","Administración de Sistemas Integrales
Ing. Hugo Eduardo Treviño","Programación WEB
M.I. Hugo O. Camargo","Negocios Electrónicos
M.I. Arturo Guadalupe Mascorro","Graficación Por Computadora Avanzada
M.I. Manuel Ruiz Méndez"
19:50-20:45,"Introducción a la ITI
M.T.I. Israel Pulido Picazo","Introducción a la ITI
M.T.I. Israel Pulido Picazo","Herramientas Ofimaticas
M.I. Hugo O. Camargo",,,,19:50-20:45,CAI,,"Herramientas Multimedia
Ing. Hugo Eduardo Treviño",,,,19:50-20:45,"Introducción a la Programación Orientada a Objetos
M.I. Luis Roberto Flores de la Fuente","Introducción a la Programación Orientada a Objetos
M.I. Luis Roberto Flores de la Fuente","Introducción a la Programación Orientada a Objetos
M.I. Luis Roberto Flores de la Fuente",,"Introducción a la Programación Orientada a Objetos
M.I. Luis Roberto Flores de la Fuente",,19:50-20:45,"Tecnologíás WAN
M.S.I. Marina Cristal Flores Flores","Tecnologíás WAN
M.S.I. Marina Cristal Flores Flores","Tecnologíás WAN
M.S.I. Marina Cristal Flores Flores","Tecnologíás WAN
M.S.I. Marina Cristal Flores Flores",,,19:50-20:45,"Diseño de Interfaces
Ing. Hugo Eduardo Treviño","Diseño de Interfaces
Ing. Hugo Eduardo Treviño",,,,,19:50-20:45,"Graficación Por Computadora Avanzada
M.I. Manuel Ruiz Méndez","Graficación Por Computadora Avanzada
M.I. Manuel Ruiz Méndez","Graficación Por Computadora Avanzada
M.I. Manuel Ruiz Méndez","Graficación Por Computadora Avanzada
M.I. Manuel Ruiz Méndez","Graficación Por Computadora Avanzada
M.I. Manuel Ruiz Méndez"
